discoveries	discoveries update
inventory	requested inventory update
look	examining tile {'x': 73, 'y': 16, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': 1, 'walked': 1, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
farlook	examining monster
search	baiting monsters | targetting enemy {'x': 71, 'y': 14, 'known': 1, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
search	baiting monsters | targetting enemy {'x': 71, 'y': 14, 'known': 2, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 72, 'y': 15, 'known': 3, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False} | targetting enemy {'x': 72, 'y': 15, 'known': 3, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False}
move	hitting {'x': 72, 'y': 15, 'known': 4, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting enemy {'x': 72, 'y': 15, 'known': 4, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
