0.33 more 
0.65 idle 
0.75 idle Be careful!  New moon tonight.
1.12 idle 
1.51 idle The jackal bites!
1.91 idle 
2.3 idle 
2.68 idle You see no door there.
3.06 idle You see no door there.
3.44 idle You see no door there.
3.82 idle You see no door there.
4.22 idle You see no door there.
4.61 idle You see no door there.
4.99 idle You see no door there.
5.37 idle You see no door there.
5.74 idle You see no door there.
6.12 idle You see no door there.
6.5 idle You see no door there.
6.89 idle You see no door there.
7.27 idle You see no door there.
7.66 idle You see no door there.
8.05 idle You see no door there.
8.43 idle You see no door there.
8.82 idle You see no door there.
9.21 idle You see no door there.
9.58 idle You see no door there.
9.96 idle You see no door there.
10.34 idle You see no door there.
10.73 idle You see no door there.
11.11 idle You see no door there.
11.49 idle You see no door there.
11.88 idle You see no door there.
12.26 idle You see no door there.
12.65 idle You see no door there.
13.05 idle You see no door there.
13.44 idle You see no door there.
13.81 idle You see no door there.
14.21 idle You see no door there.
14.6 idle You see no door there.
14.99 idle You see no door there.
15.38 idle You see no door there.
15.77 idle You see no door there.
16.16 idle You see no door there.
16.56 idle You see no door there.
16.95 idle You see no door there.
17.33 idle You see no door there.
17.72 idle You see no door there.
18.1 idle You see no door there.
18.49 idle You see no door there.
18.88 idle You see no door there.
19.27 idle You see no door there.
19.68 idle You see no door there.
20.06 idle You see no door there.
20.45 idle You see no door there.
20.81 idle You see no door there.
21.2 idle You see no door there.
21.58 idle You see no door there.
21.98 idle You see no door there.
22.37 idle You see no door there.
22.74 idle You see no door there.
23.14 idle You see no door there.
23.53 idle You see no door there.
23.92 idle You see no door there.
24.31 idle You see no door there.
24.7 idle You see no door there.
25.08 idle You see no door there.
25.46 idle You see no door there.
25.85 idle You see no door there.
26.25 idle You see no door there.
26.62 idle You see no door there.
27.0 idle You see no door there.
27.39 idle You see no door there.
27.78 idle You see no door there.
28.16 idle You see no door there.
28.52 idle You see no door there.
28.91 idle You see no door there.
29.3 idle You see no door there.
29.68 idle You see no door there.
30.06 idle You see no door there.
30.43 idle You see no door there.
30.83 idle You see no door there.
31.23 idle You see no door there.
31.61 idle You see no door there.
32.0 idle You see no door there.
32.39 idle You see no door there.
32.78 idle You see no door there.
33.16 idle You see no door there.
33.55 idle You see no door there.
33.91 idle You see no door there.
34.3 idle You see no door there.
34.66 idle You see no door there.
35.06 idle You see no door there.
35.45 idle You see no door there.
35.83 idle You see no door there.
36.21 idle You see no door there.
36.6 idle You see no door there.
36.96 idle You see no door there.
37.35 idle You see no door there.
37.73 idle You see no door there.
38.13 idle You see no door there.
38.51 idle You see no door there.
38.89 idle You see no door there.
39.29 idle You see no door there.
39.67 idle You see no door there.
40.07 idle You see no door there.
40.47 idle You see no door there.
40.87 idle You see no door there.
41.23 idle You see no door there.
41.62 idle You see no door there.
42.01 idle You see no door there.
42.4 idle You see no door there.
42.79 idle You see no door there.
43.18 idle You see no door there.
43.56 idle You see no door there.
43.94 idle You see no door there.
44.32 idle You see no door there.
44.7 idle You see no door there.
45.08 idle You see no door there.
45.48 idle You see no door there.
45.86 idle You see no door there.
46.24 idle You see no door there.
46.62 idle You see no door there.
47.0 idle You see no door there.
47.39 idle You see no door there.
47.77 idle You see no door there.
48.16 idle You see no door there.
48.55 idle You see no door there.
48.94 idle You see no door there.
49.32 idle You see no door there.
49.71 idle You see no door there.
50.1 idle You see no door there.
50.47 idle You see no door there.
50.86 idle You see no door there.
51.25 idle You see no door there.
51.62 idle You see no door there.
52.02 idle You see no door there.
52.4 idle You see no door there.
52.8 idle You see no door there.
53.19 idle You see no door there.
53.59 idle You see no door there.
53.98 idle You see no door there.
54.36 idle You see no door there.
54.76 idle You see no door there.
55.14 idle You see no door there.
55.51 idle You see no door there.
55.9 idle You see no door there.
56.29 idle You see no door there.
56.69 idle You see no door there.
57.09 idle You see no door there.
57.48 idle You see no door there.
57.88 idle You see no door there.
58.27 idle You see no door there.
58.65 idle You see no door there.
59.04 idle You see no door there.
59.42 idle You see no door there.
59.81 idle You see no door there.
60.19 idle You see no door there.
60.59 idle You see no door there.
60.97 idle You see no door there.
61.35 idle You see no door there.
61.71 idle You see no door there.
62.1 idle You see no door there.
62.49 idle You see no door there.
62.86 idle You see no door there.
63.25 idle You see no door there.
63.63 idle You see no door there.
64.0 idle You see no door there.
64.38 idle You see no door there.
64.77 idle You see no door there.
65.15 idle You see no door there.
65.53 idle You see no door there.
65.91 idle You see no door there.
66.3 idle You see no door there.
66.67 idle You see no door there.
67.05 idle You see no door there.
67.43 idle You see no door there.
67.81 idle You see no door there.
68.19 idle You see no door there.
68.56 idle You see no door there.
68.94 idle You see no door there.
69.32 idle You see no door there.
69.7 idle You see no door there.
70.07 idle You see no door there.
70.46 idle You see no door there.
70.85 idle You see no door there.
71.24 idle You see no door there.
71.63 idle You see no door there.
72.02 idle You see no door there.
72.4 idle You see no door there.
72.79 idle You see no door there.
73.18 idle You see no door there.
73.56 idle You see no door there.
73.94 idle You see no door there.
74.32 idle You see no door there.
74.7 idle You see no door there.
75.08 idle You see no door there.
